Maquina 1, Trabalho 1 - Operacao 1, 0, 4
Maquina 1, Trabalho 2 - Operacao 5, 4, 5
Maquina 1, Trabalho 5 - Operacao 21, 5, 8
Maquina 1, Trabalho 6 - Operacao 26, 8, 11
Maquina 1, Trabalho 8 - Operacao 34, 11, 14
Maquina 2, Trabalho 1 - Operacao 2, 4, 8
Maquina 2, Trabalho 5 - Operacao 22, 8, 12
Maquina 3, Trabalho 3 - Operacao 12, 0, 6
Maquina 3, Trabalho 4 - Operacao 17, 6, 9
Maquina 3, Trabalho 1 - Operacao 3, 9, 14
Maquina 3, Trabalho 4 - Operacao 19, 14, 18
Maquina 3, Trabalho 7 - Operacao 31, 18, 21
Maquina 3, Trabalho 8 - Operacao 36, 21, 25
Maquina 4, Trabalho 6 - Operacao 27, 11, 18
Maquina 4, Trabalho 2 - Operacao 7, 18, 19
Maquina 6, Trabalho 7 - Operacao 29, 0, 4
Maquina 6, Trabalho 6 - Operacao 28, 4, 12
Maquina 7, Trabalho 3 - Operacao 14, 16, 23
Maquina 8, Trabalho 2 - Operacao 6, 5, 9
Maquina 8, Trabalho 3 - Operacao 13, 9, 16
Maquina 8, Trabalho 4 - Operacao 18, 16, 20
Maquina 8, Trabalho 7 - Operacao 30, 20, 24
Maquina 8, Trabalho 8 - Operacao 35, 24, 28
Maquina 8, Trabalho 5 - Operacao 23, 28, 32
